version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,M1,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,baseline,Đo hành vi chưa tối ưu trước khi sửa,,0.60,runs/v0_B_base_openai_20260602T144953773033.json
v1,M1,system_prompt.md; tools.yaml,v1+p4754aed0a40b+t6f9e22e08571,4754aed0a40b,6f9e22e08571,Sai tool cho out-of-scope; tự đoán thông tin thiếu; gửi tin không xác nhận; ghép từ 'news' vào query; không gọi tool song song,Đưa ra bộ quy tắc hệ thống chi tiết cho từng nhóm hành vi trong system_prompt.md và thêm negative constraints vào tools.yaml,0.60,1.00,runs/v1_B_base_openai_20260602T153108349493.json
v2,M1,system_prompt.md,v2+p7f440a7cec3f+t6f9e22e08571,7f440a7cec3f,6f9e22e08571,Agent gọi nhầm tool send khi nhận yêu cầu gửi email (out-of-scope),Đưa thêm quy định cụ thể cấm gọi tool send cho email vào phần Out of Scope trong system_prompt.md,0.80,1.00,runs/v2_B_group_openai_20260602T162139425747.json
v3,M1,tools.yaml; system_prompt.md; tools/__init__.py,v3+pbc98a1208746+t0fc84af93111,bc98a1208746,0fc84af93111,Đồng bộ 4 tools mới của M2 và giải quyết 10 group cases bao gồm các cases hội thoại đa lượt (multi-turn),Đăng ký tools mới của M2 vào system_prompt/tools.yaml/code và thêm chương 6 hướng dẫn phân giải ngữ cảnh đa lượt flattened trong system_prompt.md,0.80,1.00,runs/v3_B_base_openai_20260602T163011590283.json; runs/v3_B_group_openai_20260602T162807095287.json
